id,автор,название,серия,series_code,год,series_slug,имя_файла,путь_исходник,путь
dasha_027,Дарья Донцова,Небо в рублях,Даша Васильева,ДВ,2005,dasha,ДВ_Небо в рублях.txt,txt ДашаВасильева/26 Небо в рублях.txt,dasha/ДВ_Небо в рублях.txt
dasha_008,Дарья Донцова,Несекретные материалы,Даша Васильева,ДВ,2000,dasha,ДВ_Несекретные материалы.txt,txt ДашаВасильева/07 Несекретные материалы.txt,dasha/ДВ_Несекретные материалы.txt
dasha_054,Дарья Донцова,Ночной клуб на Лысой горе,Даша Васильева,ДВ,2017,dasha,ДВ_Ночной клуб на Лысой горе.txt,txt ДашаВасильева/53 Ночной клуб на Лысой горе.txt,dasha/ДВ_Ночной клуб на Лысой горе.txt
dasha_045,Дарья Донцова,Пальцы китайским веером,Даша Васильева,ДВ,2012,dasha,ДВ_Пальцы китайским веером.txt,txt ДашаВасильева/44 Пальцы китайским веером.txt,dasha/ДВ_Пальцы китайским веером.txt
dasha_061,Дарья Донцова,Пиявка голубых кровей,Даша Васильева,ДВ,2020,dasha,ДВ_Пиявка голубых кровей.txt,txt ДашаВасильева/60 Пиявка голубых кровей.txt,dasha/ДВ_Пиявка голубых кровей.txt
dasha_068,Дарья Донцова,Плохая репутация Курочки Рябы,Даша Васильева,ДВ,2022,dasha,ДВ_Плохая репутация Курочки Рябы.txt,txt ДашаВасильева/67 Плохая репутация Курочки Рябы.txt,dasha/ДВ_Плохая репутация Курочки Рябы.txt
dasha_018,Дарья Донцова,Полет над гнездом индюшки,Даша Васильева,ДВ,2002,dasha,ДВ_Полет над гнездом индюшки.txt,txt ДашаВасильева/17 Полет над гнездом индюшки.txt,dasha/ДВ_Полет над гнездом индюшки.txt
dasha_056,Дарья Донцова,Последняя гастроль госпожи Удачи,Даша Васильева,ДВ,2018,dasha,ДВ_Последняя гастроль госпожи Удачи.txt,txt ДашаВасильева/55 Последняя гастроль госпожи Удачи.txt,dasha/ДВ_Последняя гастроль госпожи Удачи.txt
dasha_047,Дарья Донцова,Приват-танец мисс Марпл,Даша Васильева,ДВ,2014,dasha,ДВ_Приват-танец мисс Марпл.txt,txt ДашаВасильева/46 Приват-танец мисс Марпл.txt,dasha/ДВ_Приват-танец мисс Марпл.txt
dasha_015,Дарья Донцова,Привидение в кроссовках,Даша Васильева,ДВ,2002,dasha,ДВ_Привидение в кроссовках.txt,txt ДашаВасильева/14 Привидение в кроссовках.txt,dasha/ДВ_Привидение в кроссовках.txt
dasha_055,Дарья Донцова,Родословная до седьмого полена,Даша Васильева,ДВ,2017,dasha,ДВ_Родословная до седьмого полена.txt,txt ДашаВасильева/54 Родословная до седьмого полена.txt,dasha/ДВ_Родословная до седьмого полена.txt
dasha_029,Дарья Донцова,Ромео с большой дороги,Даша Васильева,ДВ,2006,dasha,ДВ_Ромео с большой дороги.txt,txt ДашаВасильева/28 Ромео с большой дороги.txt,dasha/ДВ_Ромео с большой дороги.txt
dasha_048,Дарья Донцова,Самовар с шампанским,Даша Васильева,ДВ,2014,dasha,ДВ_Самовар с шампанским.txt,txt ДашаВасильева/47 Самовар с шампанским.txt,dasha/ДВ_Самовар с шампанским.txt
dasha_052,Дарья Донцова,Свидание под мантией,Даша Васильева,ДВ,2016,dasha,ДВ_Свидание под мантией.txt,txt ДашаВасильева/51 Свидание под мантией.txt,dasha/ДВ_Свидание под мантией.txt
dasha_070,Дарья Донцова,Слон для Дюймовочки,Даша Васильева,ДВ,2023,dasha,ДВ_Слон для Дюймовочки.txt,txt ДашаВасильева/69 Слон для Дюймовочки.txt,dasha/ДВ_Слон для Дюймовочки.txt
dasha_050,Дарья Донцова,Сон дядюшки Фрейда,Даша Васильева,ДВ,2015,dasha,ДВ_Сон дядюшки Фрейда.txt,txt ДашаВасильева/49 Сон дядюшки Фрейда.txt,dasha/ДВ_Сон дядюшки Фрейда.txt
dasha_011,Дарья Донцова,Спят усталые игрушки,Даша Васильева,ДВ,2000,dasha,ДВ_Спят усталые игрушки.txt,txt ДашаВасильева/10 Спят усталые игрушки.txt,dasha/ДВ_Спят усталые игрушки.txt
dasha_025,Дарья Донцова,Стилист для снежного человека,Даша Васильева,ДВ,2005,dasha,ДВ_Стилист для снежного человека.txt,txt ДашаВасильева/24 Стилист для снежного человека.txt,dasha/ДВ_Стилист для снежного человека.txt
dasha_071,Дарья Донцова,Ступа с навигатором,Даша Васильева,ДВ,2024,dasha,ДВ_Ступа с навигатором.txt,txt ДашаВасильева/70 Ступа с навигатором.txt,dasha/ДВ_Ступа с навигатором.txt
dasha_036,Дарья Донцова,Темное прошлое Конька-Горбунка (сборник),Даша Васильева,ДВ,2010,dasha,ДВ_Темное прошлое Конька-Горбунка (сборник).txt,txt ДашаВасильева/35 Темное прошлое Конька-Горбунка (сборник).txt,dasha/ДВ_Темное прошлое Конька-Горбунка (сборник).txt
